FINISH SALES DETAILED REPORT -- COMPANY:SHALINI FASHIONS PVT. LTD.,,,,,,,,
"MARKET : COUNTER  ---  PARTY-WISE , NO. - WISE ,   --  FROM DATE:20/05/15 TO DATE:26/05/15 ",,,,,,,,
SCREEN NAME,PCS,AMOUNT,DATE,RATE,TRANSPORT,L/R NO.,REMARK,SELECT
ANAMIKA,,,,,,,,0
3613,,,,,,,,0
ENTERTAINMENT CATLOG-5,69.00,24150.00,21/05/2015,350.00,N.B.T.LOGISTICS,60195*1,CATLOG SAREE,0
NO. - WISE-SUBTOTAL,69.00,24150.00,21/05/2015,350.00,,,,0
PARTY-SUBTOTAL,69.00,24150.00,21/05/2015,350.00,,,,0
ANAND ENTERPRISE.,,,,,,,,0
3644,,,,,,,,0
CHOICE OF INDIA,26.00,9360.00,22/05/2015,360.00,NEW MALIK TRANSPORT,790974*1,PRINT WORK+BAG PACK,0
PITAMBARI,4.00,1900.00,22/05/2015,475.00,NEW MALIK TRANSPORT,790974*1,PRINT WORK+BAG PACK,0
DREAM LAND,5.00,3475.00,22/05/2015,695.00,NEW MALIK TRANSPORT,790974*1,PRINT WORK+BAG PACK,0
NIGHT BIRD,4.00,2440.00,22/05/2015,610.00,NEW MALIK TRANSPORT,790974*1,PRINT WORK+BAG PACK,0
STYLE MANTRA,32.00,19520.00,22/05/2015,610.00,NEW MALIK TRANSPORT,790974*1,PRINT WORK+BAG PACK,0
NO. - WISE-SUBTOTAL,71.00,36695.00,22/05/2015,516.83,,,,0
PARTY-SUBTOTAL,71.00,36695.00,22/05/2015,516.83,,,,0
ARVIND FASHION,,,,,,,,0
3609,,,,,,,,0
KHUSHI,24.00,7320.00,21/05/2015,305.00,MAA BHAGWATI,215695*1,PRINT WORK,0
NIGHT BIRD,8.00,4880.00,21/05/2015,610.00,MAA BHAGWATI,215695*1,PRINT WORK,0
JANNAT,16.00,4880.00,21/05/2015,305.00,MAA BHAGWATI,215695*1,PRINT WORK,0
GUDIYA RANI,4.00,1480.00,21/05/2015,370.00,MAA BHAGWATI,215695*1,PRINT WORK,0
AMANAT,8.00,3480.00,21/05/2015,435.00,MAA BHAGWATI,215695*1,PRINT WORK,0
SHOBHA,12.00,3660.00,21/05/2015,305.00,MAA BHAGWATI,215695*1,PRINT WORK,0
NO. - WISE-SUBTOTAL,72.00,25700.00,21/05/2015,356.94,,,,0
3619,,,,,,,,0
KHUSHI,22.00,6710.00,21/05/2015,305.00,MAA BHAGWATI,215694*1,PRINT WORK+DYED WORK,0
SHOBHA,14.00,4270.00,21/05/2015,305.00,MAA BHAGWATI,215694*1,PRINT WORK+DYED WORK,0
JANNAT,11.00,3355.00,21/05/2015,305.00,MAA BHAGWATI,215694*1,PRINT WORK+DYED WORK,0
NIGHT BIRD,4.00,2440.00,21/05/2015,610.00,MAA BHAGWATI,215694*1,PRINT WORK+DYED WORK,0
GUDIYA RANI,3.00,1110.00,21/05/2015,370.00,MAA BHAGWATI,215694*1,PRINT WORK+DYED WORK,0
GUNJAN,16.00,6560.00,21/05/2015,410.00,MAA BHAGWATI,215694*1,PRINT WORK+DYED WORK,0
NO. - WISE-SUBTOTAL,70.00,24445.00,21/05/2015,349.21,,,,0
3696,,,,,,,,0
GUNJAN,64.00,26240.00,23/05/2015,410.00,MAA BHAGWATI ONLY,215832*1,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,26240.00,23/05/2015,410.00,,,,0
3730,,,,,,,,0
KICK   ,18.00,4680.00,25/05/2015,260.00,MAA BHAGWATI ONLY,,PRINT WORK,0
ZAKASH,56.00,15568.00,25/05/2015,278.00,MAA BHAGWATI ONLY,,PRINT WORK,0
NO. - WISE-SUBTOTAL,74.00,20248.00,25/05/2015,273.62,,,,0
PARTY-SUBTOTAL,280.00,96633.00,21/05/2015,345.12,,,,0
BARNWAL BROTHERS,,,,,,,,0
3641,,,,,,,,0
FLORENCE CATLOG,39.00,14235.00,22/05/2015,365.00,R.K.TRANSPORT,5147329*1,DYED WORK,0
JAGRUTI,8.00,4480.00,22/05/2015,560.00,R.K.TRANSPORT,5147329*1,DYED WORK,0
GUNJAN,16.00,6560.00,22/05/2015,410.00,R.K.TRANSPORT,5147329*1,DYED WORK,0
NO. - WISE-SUBTOTAL,63.00,25275.00,22/05/2015,401.19,,,,0
3654,,,,,,,,0
KICK   ,20.00,5200.00,22/05/2015,260.00,R.K.TRANSPORT,5147437*1,PRINT WORK,0
ZAKASH,52.00,14456.00,22/05/2015,278.00,R.K.TRANSPORT,5147437*1,PRINT WORK,0
NO. - WISE-SUBTOTAL,72.00,19656.00,22/05/2015,273.00,,,,0
PARTY-SUBTOTAL,135.00,44931.00,22/05/2015,332.82,,,,0
BRIJLAL SURESH KUMAR,,,,,,,,0
3643,,,,,,,,0
KHUSHI,72.00,21960.00,22/05/2015,305.00,BALAJI GOLDEN,77679*1,PRINT WORK,0
NO. - WISE-SUBTOTAL,72.00,21960.00,22/05/2015,305.00,,,,0
3655,,,,,,,,0
KICK   ,20.00,5200.00,22/05/2015,260.00,BALAJI GOLDEN,77678*1,PRINT WORK,0
ZAKASH,53.00,14734.00,22/05/2015,278.00,BALAJI GOLDEN,77678*1,PRINT WORK,0
NO. - WISE-SUBTOTAL,73.00,19934.00,22/05/2015,273.07,,,,0
PARTY-SUBTOTAL,145.00,41894.00,22/05/2015,288.92,,,,0
DHAWAN EMPORIUM,,,,,,,,0
3656,,,,,,,,0
KICK   ,20.00,5200.00,22/05/2015,260.00,MATA TRANSPORT,5006537750*1,PRINT WORK,0
ZAKASH,53.00,14734.00,22/05/2015,278.00,MATA TRANSPORT,5006537750*1,PRINT WORK,0
NO. - WISE-SUBTOTAL,73.00,19934.00,22/05/2015,273.07,,,,0
PARTY-SUBTOTAL,73.00,19934.00,22/05/2015,273.07,,,,0
JALAN WHOLESALE BAZAR,,,,,,,,0
3605,,,,,,,,0
LOVE TRUE,64.00,35840.00,21/05/2015,560.00,NAVYUG,70074*6,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,35840.00,21/05/2015,560.00,,,,0
3606,,,,,,,,0
MERI GUNJAN,24.00,9840.00,21/05/2015,410.00,NAVYUG,70074*6.,DYED WORK,0
LOVE TRUE,16.00,8960.00,21/05/2015,560.00,NAVYUG,70074*6.,DYED WORK,0
GULDASTA CATLOG,16.00,5840.00,21/05/2015,365.00,NAVYUG,70074*6.,DYED WORK,0
LOVE MANTRA,8.00,5200.00,21/05/2015,650.00,NAVYUG,70074*6.,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,29840.00,21/05/2015,466.25,,,,0
3607,,,,,,,,0
MERI GUNJAN,24.00,9840.00,21/05/2015,410.00,NAVYUG,70074*6..,DYED WORK,0
LOVE TRUE,16.00,8960.00,21/05/2015,560.00,NAVYUG,70074*6..,DYED WORK,0
GULDASTA CATLOG,24.00,8760.00,21/05/2015,365.00,NAVYUG,70074*6..,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,27560.00,21/05/2015,430.63,,,,0
3615,,,,,,,,0
FLORENCE CATLOG,64.00,23360.00,21/05/2015,365.00,NAVYUG,.70074*6,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,23360.00,21/05/2015,365.00,,,,0
3616,,,,,,,,0
FLORENCE CATLOG,64.00,23360.00,21/05/2015,365.00,NAVYUG,70074*.6,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,23360.00,21/05/2015,365.00,,,,0
3617,,,,,,,,0
FLORENCE CATLOG,64.00,23360.00,21/05/2015,365.00,NAVYUG,70074*.6.,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,23360.00,21/05/2015,365.00,,,,0
3647,,,,,,,,0
KICK   ,20.00,5200.00,22/05/2015,260.00,NAVYUG,,PRINT WORK,0
ZAKASH,52.00,14456.00,22/05/2015,278.00,NAVYUG,,PRINT WORK,0
NO. - WISE-SUBTOTAL,72.00,19656.00,22/05/2015,273.00,,,,0
3648,,,,,,,,0
KICK   ,20.00,5200.00,22/05/2015,260.00,NAVYUG,,PRINT WORK,0
ZAKASH,52.00,14456.00,22/05/2015,278.00,NAVYUG,,PRINT WORK,0
NO. - WISE-SUBTOTAL,72.00,19656.00,22/05/2015,273.00,,,,0
3691,,,,,,,,0
GUNJAN,64.00,26240.00,23/05/2015,410.00,NAVYUG,,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,26240.00,23/05/2015,410.00,,,,0
3692,,,,,,,,0
GUNJAN,64.00,26240.00,23/05/2015,410.00,NAVYUG,,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,26240.00,23/05/2015,410.00,,,,0
3693,,,,,,,,0
GUNJAN,64.00,26240.00,23/05/2015,410.00,NAVYUG,,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,26240.00,23/05/2015,410.00,,,,0
3704,,,,,,,,0
NICE CELECTION,64.00,19520.00,23/05/2015,305.00,NAVYUG,,PRINT WORK,0
MAYAPURI,7.00,2135.00,23/05/2015,305.00,NAVYUG,,PRINT WORK,0
NO. - WISE-SUBTOTAL,71.00,21655.00,23/05/2015,305.00,,,,0
3705,,,,,,,,0
MAYAPURI,7.00,2135.00,23/05/2015,305.00,NAVYUG,,PRINT WORK,0
NICE CELECTION,62.00,18910.00,23/05/2015,305.00,NAVYUG,,PRINT WORK,0
KICK   ,3.00,780.00,23/05/2015,260.00,NAVYUG,,PRINT WORK,0
NO. - WISE-SUBTOTAL,72.00,21825.00,23/05/2015,303.13,,,,0
3706,,,,,,,,0
KICK   ,14.00,3640.00,23/05/2015,260.00,NAVYUG,,PRINT WORK+500 CARRY BAG IN PA,0
MAYAPURI,8.00,2440.00,23/05/2015,305.00,NAVYUG,,PRINT WORK+500 CARRY BAG IN PA,0
NICE CELECTION,50.00,15250.00,23/05/2015,305.00,NAVYUG,,PRINT WORK+500 CARRY BAG IN PA,0
NO. - WISE-SUBTOTAL,72.00,21330.00,23/05/2015,296.25,,,,0
3707,,,,,,,,0
KICK   ,27.00,7020.00,23/05/2015,260.00,NAVYUG,,PRINT WORK,0
MAYAPURI,4.00,1220.00,23/05/2015,305.00,NAVYUG,,PRINT WORK,0
NICE CELECTION,41.00,12505.00,23/05/2015,305.00,NAVYUG,,PRINT WORK,0
NO. - WISE-SUBTOTAL,72.00,20745.00,23/05/2015,288.13,,,,0
3729,,,,,,,,0
DIVINE CATLOG,72.00,42840.00,25/05/2015,595.00,NAVYUG,,,0
NO. - WISE-SUBTOTAL,72.00,42840.00,25/05/2015,595.00,,,,0
3763,,,,,,,,0
FLORENCE CATLOG,64.00,23360.00,25/05/2015,365.00,NAVYUG,,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,23360.00,25/05/2015,365.00,,,,0
3764,,,,,,,,0
FLORENCE CATLOG,64.00,23360.00,25/05/2015,365.00,NAVYUG,,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,23360.00,25/05/2015,365.00,,,,0
3765,,,,,,,,0
FLORENCE CATLOG,64.00,23360.00,25/05/2015,365.00,NAVYUG,,DYED WORK,0
NO. - WISE-SUBTOTAL,64.00,23360.00,25/05/2015,365.00,,,,0
3766,,,,,,,,0
FLORENCE CATLOG,65.00,23725.00,25/05/2015,365.00,NAVYUG,,DYED WORK,0
NO. - WISE-SUBTOTAL,65.00,23725.00,25/05/2015,365.00,,,,0
3767,,,,,,,,0
